profile,relay_count,total_transmissions,single_tx_toa_ms,effective_channel_occupancy_ms
JP125_LONG_SF10,0,1,370.688,370.688
JP125_LONG_SF10,1,2,370.688,741.376
JP125_LONG_SF10,2,3,370.688,1112.064
JP125_LONG_SF10,3,4,370.688,1482.752
JP125_BAL_SF9,0,1,308.224,308.224
JP125_BAL_SF9,1,2,308.224,616.448
JP125_BAL_SF9,2,3,308.224,924.672
JP125_BAL_SF9,3,4,308.224,1232.896
JP250_FAST_SF8,0,1,128.256,128.256
JP250_FAST_SF8,1,2,128.256,256.512
JP250_FAST_SF8,2,3,128.256,384.768
JP250_FAST_SF8,3,4,128.256,513.024
JP250_CTRL_SF9,0,1,195.072,195.072
JP250_CTRL_SF9,1,2,195.072,390.144
JP250_CTRL_SF9,2,3,195.072,585.216
JP250_CTRL_SF9,3,4,195.072,780.288
