bw_khz,sf,payload_bytes,toa_ms
125,7,0,25.856
125,7,1,25.856
125,7,2,30.976
125,7,3,30.976
125,7,4,30.976
125,7,5,30.976
125,7,6,36.096
125,7,7,36.096
125,7,8,36.096
125,7,9,41.216
125,7,10,41.216
125,7,11,41.216
125,7,12,41.216
125,7,13,46.336
125,7,14,46.336
125,7,15,46.336
125,7,16,51.456
125,7,17,51.456
125,7,18,51.456
125,7,19,51.456
125,7,20,56.576
125,7,21,56.576
125,7,22,56.576
125,7,23,61.696
125,7,24,61.696
125,7,25,61.696
125,7,26,61.696
125,7,27,66.816
125,7,28,66.816
125,7,29,66.816
125,7,30,71.936
125,7,31,71.936
125,7,32,71.936
125,7,33,71.936
125,7,34,77.056
125,7,35,77.056
125,7,36,77.056
125,7,37,82.176
125,7,38,82.176
125,7,39,82.176
125,7,40,82.176
125,7,41,87.296
125,7,42,87.296
125,7,43,87.296
125,7,44,92.416
125,7,45,92.416
125,7,46,92.416
125,7,47,92.416
125,7,48,97.536
125,7,49,97.536
125,7,50,97.536
125,7,51,102.656
125,7,52,102.656
125,7,53,102.656
125,7,54,102.656
125,7,55,107.776
125,7,56,107.776
125,7,57,107.776
125,7,58,112.896
125,7,59,112.896
125,7,60,112.896
125,7,61,112.896
125,7,62,118.016
125,7,63,118.016
125,7,64,118.016
125,7,65,123.136
125,7,66,123.136
125,7,67,123.136
125,7,68,123.136
125,7,69,128.256
125,7,70,128.256
125,7,71,128.256
125,7,72,133.376
125,7,73,133.376
125,7,74,133.376
125,7,75,133.376
125,7,76,138.496
125,7,77,138.496
125,7,78,138.496
125,7,79,143.616
125,7,80,143.616
125,7,81,143.616
125,7,82,143.616
125,7,83,148.736
125,7,84,148.736
125,7,85,148.736
125,7,86,153.856
125,7,87,153.856
125,7,88,153.856
125,7,89,153.856
125,7,90,158.976
125,7,91,158.976
125,7,92,158.976
125,7,93,164.096
125,7,94,164.096
125,7,95,164.096
125,7,96,164.096
125,7,97,169.216
125,7,98,169.216
125,7,99,169.216
125,7,100,174.336
125,7,101,174.336
125,7,102,174.336
125,7,103,174.336
125,7,104,179.456
125,7,105,179.456
125,7,106,179.456
125,7,107,184.576
125,7,108,184.576
125,7,109,184.576
125,7,110,184.576
125,7,111,189.696
125,7,112,189.696
125,7,113,189.696
125,7,114,194.816
125,7,115,194.816
125,7,116,194.816
125,7,117,194.816
125,7,118,199.936
125,7,119,199.936
125,7,120,199.936
125,7,121,205.056
125,7,122,205.056
125,7,123,205.056
125,7,124,205.056
125,7,125,210.176
125,7,126,210.176
125,7,127,210.176
125,7,128,215.296
125,8,0,51.712
125,8,1,51.712
125,8,2,51.712
125,8,3,61.952
125,8,4,61.952
125,8,5,61.952
125,8,6,61.952
125,8,7,72.192
125,8,8,72.192
125,8,9,72.192
125,8,10,72.192
125,8,11,82.432
125,8,12,82.432
125,8,13,82.432
125,8,14,82.432
125,8,15,92.672
125,8,16,92.672
125,8,17,92.672
125,8,18,92.672
125,8,19,102.912
125,8,20,102.912
125,8,21,102.912
125,8,22,102.912
125,8,23,113.152
125,8,24,113.152
